algo_name,hyperparameter_name,hyperparameter_value_exp,avg_reward
sample average $\epsilon$-greedy,epsilon,-7,3.5668454
sample average $\epsilon$-greedy,epsilon,-7,3.595811
sample average $\epsilon$-greedy,epsilon,-7,3.5256412
sample average $\epsilon$-greedy,epsilon,-7,2.5271761
sample average $\epsilon$-greedy,epsilon,-7,2.5177352
sample average $\epsilon$-greedy,epsilon,-7,6.4807286
sample average $\epsilon$-greedy,epsilon,-7,3.8406842
sample average $\epsilon$-greedy,epsilon,-7,3.6958635
sample average $\epsilon$-greedy,epsilon,-7,7.283761
sample average $\epsilon$-greedy,epsilon,-7,0.7722264
sample average $\epsilon$-greedy,epsilon,-7,8.492719
sample average $\epsilon$-greedy,epsilon,-7,2.8110757
sample average $\epsilon$-greedy,epsilon,-7,8.7726
sample average $\epsilon$-greedy,epsilon,-7,1.8461106
sample average $\epsilon$-greedy,epsilon,-7,4.547875
sample average $\epsilon$-greedy,epsilon,-7,3.5818906
sample average $\epsilon$-greedy,epsilon,-7,4.0047426
sample average $\epsilon$-greedy,epsilon,-7,4.6933084
sample average $\epsilon$-greedy,epsilon,-7,5.3542924
sample average $\epsilon$-greedy,epsilon,-7,10.787139
sample average $\epsilon$-greedy,epsilon,-7,3.6774857
sample average $\epsilon$-greedy,epsilon,-7,3.402249
sample average $\epsilon$-greedy,epsilon,-7,1.8148272
sample average $\epsilon$-greedy,epsilon,-7,4.9404745
sample average $\epsilon$-greedy,epsilon,-7,5.3799624
sample average $\epsilon$-greedy,epsilon,-7,3.043729
sample average $\epsilon$-greedy,epsilon,-7,10.705585
sample average $\epsilon$-greedy,epsilon,-7,3.4411652
sample average $\epsilon$-greedy,epsilon,-7,5.434501
sample average $\epsilon$-greedy,epsilon,-7,2.5750015
sample average $\epsilon$-greedy,epsilon,-7,-1.0053629
sample average $\epsilon$-greedy,epsilon,-7,9.338729
sample average $\epsilon$-greedy,epsilon,-7,7.3223333
sample average $\epsilon$-greedy,epsilon,-7,5.5816126
sample average $\epsilon$-greedy,epsilon,-7,2.5704722
sample average $\epsilon$-greedy,epsilon,-7,3.5100303
sample average $\epsilon$-greedy,epsilon,-7,3.1708534
sample average $\epsilon$-greedy,epsilon,-7,3.448955
sample average $\epsilon$-greedy,epsilon,-7,4.6819806
sample average $\epsilon$-greedy,epsilon,-7,4.463531
sample average $\epsilon$-greedy,epsilon,-7,5.0568814
sample average $\epsilon$-greedy,epsilon,-7,4.049751
sample average $\epsilon$-greedy,epsilon,-7,1.4492509
